,extension,language,count,low_alphanum_count,long_lines_count,non_lexable_count,XML_detected,Data_detected,Name,Overall quality,Alphanum filter,Long line filter,Lexer filter,Other comments,Include,Alphanum_threshold,Long_line_threshold,,XML filter,Alpha filter,Near-dedup settings
216,sps,scheme,446,2,9,87,64,25,Evgenii,"Many xmls, sql, and other non-scheme data",,,,,1,0.25,1000,,1,0.25,
218,bash,shell,312,1,4,0,0,1,Zhihan Zhang,LGTM,LGTM,"Three cases left after this filter, and they all look like human-written",,,1,0.25,1000,,1,,
220,bats,shell,127,0,0,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
223,command,shell,24,0,0,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
222,ksh,shell,26,0,0,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
217,sh,shell,1000,0,20,1,0,0,Zhihan Zhang,LGTM,LGTM,"On the inspection site, only 1 case has lines longer than 1000 and it comes from a long URL",,,1,0.25,1000,,1,,
219,tmux,shell,7,0,0,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
224,tool,shell,1,0,0,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
221,zsh,shell,232,0,1,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
225,st,smalltalk,1000,0,10,416,0,2,Arjun (WIP),"25% is not lexable, o/w",,,LGTM -- I think,,1,0.25,1000,,1,,
226,sol,solidity,1000,8,22,575,0,25,Evgenii,"LGTM, minor amount of data",,,,,1,0.25,1000,,1,,
228,rq,sparql,1000,2,6,126,0,4,Raymond,"a lot of URLs, but still valuable data",LGTM,LGTM,,,1,0.25,1000,,1,,
227,sparql,sparql,1000,1,43,138,0,6,Raymond,"a lot of URLs, but still valuable data",LGTM,LGTM,,,1,0.25,1000,,1,,
231,cql,sql,96,0,6,49,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
239,db2,sql,4,0,0,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
236,ddl,sql,75,0,2,22,0,4,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
237,pck,sql,9,0,3,4,0,1,Zhihan Zhang,half of the data are not code. Should be excluded.,,,,,0,,,,1,,
232,pkb,sql,26,0,0,1,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
235,pks,sql,16,0,0,1,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
241,plb,sql,1,0,0,0,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
234,pls,sql,17,0,0,1,0,1,Zhihan Zhang,half of the data are not code. Should be excluded.,,,,,0,,,,1,,
238,plsql,sql,7,0,0,1,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
233,prc,sql,23,0,2,9,0,2,Evgenii,"LGTM, a couple of very large and likely autogenerated files, maybe worth filtering",,,,,1,0.25,1000,,1,0.25,
229,sql,sql,1000,0,83,129,0,12,Zhihan Zhang,LGTM,LGTM,"many false positives, many long lines come from long strings",,,1,0.25,remove,,1,,
230,tab,sql,267,2,40,60,2,107,Zhihan Zhang,Most of them are table data instead of code. Should be excluded.,,,,,0,,,,1,,
240,udf,sql,7,0,0,7,0,0,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
125,stan,stan,1000,0,2,3,,,Nour Fahmy,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
242,stan,stan,1000,0,2,3,,,Zhihan Zhang,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
244,fun,standard-ml,958,0,0,463,0,4,Evgenii,"LGTM, small amount of non-standard-ml data",,,,,1,0.25,1000,,1,,
243,sig,standard-ml,1000,1,415,442,1,235,Evgenii,Large amount of non-standard-ml and non-code files (all kind of signatures). Should be filtered,,,,,0,,,,1,,
245,sml,standard-ml,1000,1,4,367,1,13,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
247,ado,stata,1000,15,24,20,231,62,Evgenii,"LGTM, significant amount of xml (20-30%)",,Broken linebreaks,,,1,0.25,remove,,1,remove,
246,do,stata,1000,3,56,29,0,8,Evgenii,Includes large amount of Xilinx Modelsim files,,Mostly false positives,,,1,0.25,remove,,1,remove,
251,doh,stata,5,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
249,ihlp,stata,406,0,0,1,0,1,Evgenii,"This is markdown analogue by stata, https://www.stata.com/manuals13/psmcl.pdf probably should be separated?",,,,,,,,,1,,
250,mata,stata,392,0,4,9,0,0,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
252,matah,stata,8,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
248,sthlp,stata,1000,0,0,17,0,0,Evgenii,"This is markdown analogue by stata, https://www.stata.com/manuals13/psmcl.pdf probably should be separated?",,,,,,,,,1,,
253,sv,systemverilog,1000,2,3,9,0,9,Evgenii,LGTM,there are some short files with large top comment that trigger filter,LGTM,,"A bit of autogenerated files, can be filtered",1,0.25,1000,,1,0.25,
254,svh,systemverilog,1000,15,0,47,0,18,Evgenii,LGTM,there are some short files with large top comment that trigger filter,LGTM,,,1,0.25,1000,,1,,
255,vh,systemverilog,615,2,10,5,0,30,Evgenii,LGTM,there are some short files with large top comment that trigger filter,small amount of false triggers,,,1,0.25,1000,,1,,
258,adp,tcl,322,0,0,318,2,2,Wenhao Yu,LGTM,0 file remaining,LGTM,,,1,0.25,1000,,1,,
256,tcl,tcl,1000,0,44,501,0,3,Wenhao Yu,"LGTM, but small portions of them are data, not code",0 file remaining,LGTM,,,1,0.25,1000,,1,,
257,tm,tcl,398,4,10,258,13,14,Wenhao Yu,"LGTM, but small portions of them are data, not code","4 file remaining, all FP",LGTM,,,1,0.25,1000,,1,,
259,csh,tcsh,1000,1,6,7,0,2,Wenhao Yu,"LGTM, some examples looks auto-generated, but not too many","1 file remaining, FP",LGTM,,,1,0.25,1000,,1,,
260,tcsh,tcsh,340,0,6,2,0,0,Wenhao Yu,LGTM,0 file remaining,"3 files remaining, 1 FP",,,1,0.25,1000,,1,,
268,aux,tex,438,0,26,0,0,0,Evgenii,"aux are autogenerated usually, suggest dropping",,,,,0,,,,1,,
270,bbx,tex,15,0,0,0,0,1,Evgenii,LGTM,,,,,1,0.25,remove,,1,,
263,bib,tex,1000,0,214,0,0,0,Evgenii,"LGTM, but bib is not latex per se, not sure if we want it",,"False positives, bib can contain long lines (abstracts)",,,1,0.25,remove,,1,,
272,cbx,tex,6,0,0,0,1,0,Evgenii,LGTM,,,,,1,0.25,remove,,1,,
267,dtx,tex,174,0,1,2,3,0,Evgenii,"LGTM, few misclassifications",,can be increased,,,1,0.25,remove,,1,,
266,ins,tex,44,1,2,0,0,10,Evgenii,"Quite a few misclassifications (data, assembly), can be filtered",,,,,1,0.25,remove,,1,,
271,lbx,tex,2,h,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,remove,,1,,
262,ltx,tex,151,2,2,0,0,3,Evgenii,"Many miscalssifications, some game engine configs",,,,,0,,,,1,,
269,mkii,tex,12,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,remove,,1,,
273,mkiv,tex,27,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,remove,,1,,
274,mkvi,tex,3,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,remove,,1,,
264,sty,tex,611,0,6,0,2,0,Evgenii,"LGTM, few misclassifications",,A few false positives,,,1,0.25,remove,,1,,
265,tex,tex,1000,4,88,2,1,32,Evgenii,LGTM,,False positives,,,1,0.25,remove,,1,,
261,toc,tex,479,0,25,0,0,4,Evgenii,"Many misclassification, but in general toc are usually autogenerated and do not contain ""interesting code"", probably should be dropped",,,,,0,,,,1,,
275,thrift,thrift,1000,0,0,32,0,2,denis kocetkov,LGTM,do not use,LGTM,not surte what is wrong with them,iterface definion language which is syntactically c++,1,0.25,1000,,1,,
276,ts,typescript,1000,0,9,32,20,3,Arjun,LGTM,LGTM,LGTM,LGTM: 30 files that don't lex are actually XML,,1,0.25,1000,,1,,
277,tsx,typescript,1000,0,15,775,3,22,Arjun,LGTM,LGTM,LGTM,LGTM: all unlexable files are just fine,,1,0.25,1000,,1,,
278,veo,verilog,1000,0,2,0,0,0,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
279,vhd,vhdl,1000,0,8,32,0,15,Evgenii,LGTM. A few autogenerated files can be filtered by top comment,,"Sometimes (but rarely) there are long constants, may want relax the filter",,,1,0.25,1000,,1,0.25,
280,vhdl,vhdl,1000,0,106,335,0,2,Evgenii,"There are many autogenerated files, possibly can be filtered by parsing top comment",,,,,1,0.25,1000,,1,,
284,vhf,vhdl,33,0,4,0,0,0,Evgenii,"Many autogenerated files, can probably be filtered",,,,,0,,,,1,,
282,vhi,vhdl,17,0,5,7,0,0,Evgenii,"LGTM, some autogenerated, small sample",,,,,1,0.25,1000,,1,,
281,vho,vhdl,309,0,0,59,0,0,Evgenii,LGTM.,,,,"Top comment are often long and repetative, maybe worth filtering out (applies to whole VHDL).",1,0.25,1000,,1,,
283,vht,vhdl,75,0,0,2,0,0,Evgenii,"Mostly autogenerated testbenches, can probably be filtered",,,,,0,,,,1,,
285,vhw,vhdl,5,0,0,0,0,0,Evgenii,LGTM,,,,,1,0.25,1000,,1,,
288,bas,visual-basic,1000,0,7,0,0,19,Harm,LGTM,,,,,1,0.25,1000,,1,0.25,
287,frm,visual-basic,1000,1,840,0,1,3,Evgenii,"Many near-duplicates, possibly autogenerated",LGTM,,,,1,,,,1,remove,"ngram_size: 3, num_perm: 256, threshold: 0.7"
292,frx,visual-basic,38,1,14,0,27,2,Raymond,"Remove, mostly repetitive XML",,,,,0,,,,1,,
286,vb,visual-basic,1000,0,6,0,0,0,Manan Dey,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
290,vba,visual-basic,77,0,0,0,0,0,Raymond,LGTM,LGTM,LGTM,,,1,0.25,1000,,1,,
291,vbhtml,visual-basic,57,0,1,0,0,0,Raymond,LGTM,LGTM,LGTM ,,,1,0.25,1000,,1,,
289,vbs,visual-basic,722,0,6,0,0,0,Jason Stillerman,LGTM,LGTM,"only two files with 1000+. One good, one bad",LGTM,,1,0.25,1000,,1,,
293,xsl,xslt,1000,0,20,2,861,0,denis kocetkov,LGTM,do not use,"seems long lines is a mix of code and data, but not sure if it is valid for the language",LGTM,xml based language to transform documents,1,0.25,1000,,0,,
294,xslt,xslt,1000,1,51,7,852,1,denis kocetkov,LGTM,do not use,"seems long lines is a mix of code and data, but not sure if it is valid for the language",LGTM,xml based language to transform documents,1,0.25,1000,,0,,
296,y,yacc,1000,8,0,0,1,115,Leandro,See comment,LGMT,LGTM ,LGTM,There are a files (10%) that contain single digit per line - no code,1,0.25,1000,,1,0.25,
297,yacc,yacc,14,0,0,0,0,0,Leandro,LGTM,LGTM,LGTM ,LGTM,,1,0.25,1000,,1,,
295,yy,yacc,1000,2,30,0,0,16,Leandro,"Remove, only JSON",,,,,0,,,,1,,
298,zig,zig,1000,0,5,123,0,2,Leandro,LGTM,LGTM,LGTM ,"Most were actually ok, one or two seemed autogenerated",,1,0.25,1000,,1,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,300,,,,,,,,,,,,
,json,json,,,,,,,Raymond,,, ,"Manually added JSON and YAML",,1,0.25,,,1,0.5,
,yaml,yaml,,,,,,,Raymond,,, ,"Manually added JSON and YAML",,1,0.25,1000,,1,0.5,
,yml,yaml,,,,,,,Raymond,,, ,"Manually added JSON and YAML",,1,0.25,1000,,1,0.5,
